query,neighbor,distance,rank
c2_uuid_80ab3494.nc,c2_uuid_a8aaadc4.nc,4.595753318782717,12
c2_uuid_80ab3494.nc,c2_uuid_735327ae.nc,4.596404155462649,13
c2_uuid_80ab3494.nc,c2_uuid_dc364aad.nc,5.283734409834813,14
c2_uuid_80ab3494.nc,c2_uuid_fbf4a196.nc,5.537345123946182,15
c2_uuid_80ab3494.nc,c2_uuid_4df18da4.nc,5.84218957775638,16
c2_uuid_80ab3494.nc,c2_uuid_4c0d80da.nc,6.188248675403314,17
c2_uuid_80ab3494.nc,c2_uuid_f544906f.nc,7.795107475831874,18
c2_uuid_80ab3494.nc,c2_uuid_ec81d97e.nc,9.585463205443638,19
c2_uuid_a8aaadc4.nc,c2_uuid_ff53a69a.nc,2.1344767291007742,1
c2_uuid_a8aaadc4.nc,c2_uuid_fbf4a196.nc,2.445445611372912,2
c2_uuid_a8aaadc4.nc,c2_uuid_fca79975.nc,2.6040825720162433,3
c2_uuid_a8aaadc4.nc,c2_uuid_aebda966.nc,3.2493229064286115,4
c2_uuid_a8aaadc4.nc,c2_uuid_4df18da4.nc,3.311345110440132,5
c2_uuid_a8aaadc4.nc,c2_uuid_d60e0f4a.nc,3.4259332104843447,6
c2_uuid_a8aaadc4.nc,c2_uuid_735327ae.nc,3.4429783290210567,7
c2_uuid_a8aaadc4.nc,c2_uuid_aa20f8c4.nc,3.620584435512129,8
c2_uuid_a8aaadc4.nc,c2_uuid_49511e7b.nc,3.6725287310988377,9
c2_uuid_a8aaadc4.nc,c2_uuid_fa40c633.nc,3.7863586333988115,10
c2_uuid_a8aaadc4.nc,c2_uuid_4b4eea26.nc,4.030520554083595,11
c2_uuid_a8aaadc4.nc,c2_uuid_f544906f.nc,4.056866840995512,12
c2_uuid_a8aaadc4.nc,c2_uuid_495c8cf2.nc,4.456794047809912,13
c2_uuid_a8aaadc4.nc,c2_uuid_80ab3494.nc,4.595753318782717,14
c2_uuid_a8aaadc4.nc,c2_uuid_4c0d80da.nc,4.598425778975135,15
c2_uuid_a8aaadc4.nc,c2_uuid_c6fae318.nc,4.8878997514793685,16
c2_uuid_a8aaadc4.nc,c2_uuid_eb59c68d.nc,4.890273938563087,17
c2_uuid_a8aaadc4.nc,c2_uuid_dc364aad.nc,4.943857873078363,18
c2_uuid_a8aaadc4.nc,c2_uuid_ec81d97e.nc,8.750971275963582,19
c2_uuid_aa20f8c4.nc,c2_uuid_49511e7b.nc,1.3474445170080236,1
c2_uuid_aa20f8c4.nc,c2_uuid_aebda966.nc,1.945208191473963,2
c2_uuid_aa20f8c4.nc,c2_uuid_c6fae318.nc,2.2892429858194365,3
c2_uuid_aa20f8c4.nc,c2_uuid_fca79975.nc,2.4399218189145273,4
c2_uuid_aa20f8c4.nc,c2_uuid_735327ae.nc,2.7179789692863516,5
c2_uuid_aa20f8c4.nc,c2_uuid_eb59c68d.nc,2.816891841658016,6
