query,neighbor,distance,rank
c2_uuid_735327ae.nc,c2_uuid_aebda966.nc,3.0893195873735753,6
c2_uuid_735327ae.nc,c2_uuid_fca79975.nc,3.138376683405949,7
c2_uuid_735327ae.nc,c2_uuid_a8aaadc4.nc,3.44297832902106,8
c2_uuid_735327ae.nc,c2_uuid_fa40c633.nc,3.8886484801389285,9
c2_uuid_735327ae.nc,c2_uuid_4b4eea26.nc,4.0656195589238635,10
c2_uuid_735327ae.nc,c2_uuid_495c8cf2.nc,4.161930706320518,11
c2_uuid_735327ae.nc,c2_uuid_d60e0f4a.nc,4.1864662192182225,12
c2_uuid_735327ae.nc,c2_uuid_ff53a69a.nc,4.249458531173058,13
c2_uuid_735327ae.nc,c2_uuid_eb59c68d.nc,4.509336193834711,14
c2_uuid_735327ae.nc,c2_uuid_80ab3494.nc,4.5964041554626505,15
c2_uuid_735327ae.nc,c2_uuid_f544906f.nc,4.680091001322133,16
c2_uuid_735327ae.nc,c2_uuid_4c0d80da.nc,4.701061642655215,17
c2_uuid_735327ae.nc,c2_uuid_fbf4a196.nc,4.8556896065957424,18
c2_uuid_735327ae.nc,c2_uuid_ec81d97e.nc,10.398207940536297,19
c2_uuid_80ab3494.nc,c2_uuid_495c8cf2.nc,0.7868567816356893,1
c2_uuid_80ab3494.nc,c2_uuid_4b4eea26.nc,0.8151147375338694,2
c2_uuid_80ab3494.nc,c2_uuid_fa40c633.nc,1.6027791841287264,3
c2_uuid_80ab3494.nc,c2_uuid_eb59c68d.nc,1.809424627660971,4
c2_uuid_80ab3494.nc,c2_uuid_49511e7b.nc,2.697220265056263,5
c2_uuid_80ab3494.nc,c2_uuid_aebda966.nc,3.01623616244926,6
c2_uuid_80ab3494.nc,c2_uuid_aa20f8c4.nc,3.2931363980794557,7
c2_uuid_80ab3494.nc,c2_uuid_d60e0f4a.nc,3.5783337733141494,8
c2_uuid_80ab3494.nc,c2_uuid_ff53a69a.nc,3.9171152362419845,9
c2_uuid_80ab3494.nc,c2_uuid_c6fae318.nc,4.232123108438533,10
c2_uuid_80ab3494.nc,c2_uuid_fca79975.nc,4.28927367379394,11
c2_uuid_80ab3494.nc,c2_uuid_a8aaadc4.nc,4.59575331878272,12
c2_uuid_80ab3494.nc,c2_uuid_735327ae.nc,4.5964041554626505,13
c2_uuid_80ab3494.nc,c2_uuid_dc364aad.nc,5.283734409834818,14
c2_uuid_80ab3494.nc,c2_uuid_fbf4a196.nc,5.537345123946188,15
c2_uuid_80ab3494.nc,c2_uuid_4df18da4.nc,5.842189577756383,16
c2_uuid_80ab3494.nc,c2_uuid_4c0d80da.nc,6.188248675403319,17
c2_uuid_80ab3494.nc,c2_uuid_f544906f.nc,7.7951074758318795,18
c2_uuid_80ab3494.nc,c2_uuid_ec81d97e.nc,9.585463205443643,19
c2_uuid_a8aaadc4.nc,c2_uuid_ff53a69a.nc,2.1344767291007756,1
c2_uuid_a8aaadc4.nc,c2_uuid_fbf4a196.nc,2.445445611372913,2
c2_uuid_a8aaadc4.nc,c2_uuid_fca79975.nc,2.6040825720162437,3
c2_uuid_a8aaadc4.nc,c2_uuid_aebda966.nc,3.2493229064286133,4
c2_uuid_a8aaadc4.nc,c2_uuid_4df18da4.nc,3.3113451104401346,5
c2_uuid_a8aaadc4.nc,c2_uuid_d60e0f4a.nc,3.425933210484345,6
c2_uuid_a8aaadc4.nc,c2_uuid_735327ae.nc,3.44297832902106,7
c2_uuid_a8aaadc4.nc,c2_uuid_aa20f8c4.nc,3.620584435512133,8
c2_uuid_a8aaadc4.nc,c2_uuid_49511e7b.nc,3.672528731098841,9
c2_uuid_a8aaadc4.nc,c2_uuid_fa40c633.nc,3.786358633398813,10
c2_uuid_a8aaadc4.nc,c2_uuid_4b4eea26.nc,4.0305205540835995,11
c2_uuid_a8aaadc4.nc,c2_uuid_f544906f.nc,4.056866840995514,12
c2_uuid_a8aaadc4.nc,c2_uuid_495c8cf2.nc,4.4567940478099155,13
c2_uuid_a8aaadc4.nc,c2_uuid_80ab3494.nc,4.59575331878272,14
c2_uuid_a8aaadc4.nc,c2_uuid_4c0d80da.nc,4.598425778975138,15
c2_uuid_a8aaadc4.nc,c2_uuid_c6fae318.nc,4.887899751479375,16
