SID,BASIN,SEASON,NAME,exclusion_reason
 , ,Year, ,Not in target basins
1938017S20160,SP,1938,UNNAMED,Not in target basins
1938047S16131,SP,1938,UNNAMED,Not in target basins
1938082S15159,SP,1938,UNNAMED,Not in target basins
1939026S23145,SP,1939,UNNAMED,Not in target basins
1939027S32157,SP,1939,UNNAMED,Not in target basins
1939062S23156,SP,1939,UNNAMED,Not in target basins
1939078S13148,SP,1939,UNNAMED,Not in target basins
1940002S13148,SP,1940,UNNAMED,Not in target basins
1940035S10178,SP,1940,UNNAMED,Not in target basins
1940045S09177,SP,1940,UNNAMED,Not in target basins
1940063S16154,SP,1940,UNNAMED,Not in target basins
1940075S17158,SP,1940,UNNAMED,Not in target basins
1940082S13151,SP,1940,UNNAMED,Not in target basins
1940082S14152,SP,1940,UNNAMED,Not in target basins
1940091S13155,SP,1940,UNNAMED,Not in target basins
1940215S18149,SP,1941,UNNAMED,Not in target basins
1941013S09200,SP,1941,UNNAMED,Not in target basins
1941032S09172,SP,1941,UNNAMED,Not in target basins
1941047S14187,SP,1941,UNNAMED,Not in target basins
1941057S08185,SP,1941,UNNAMED,Not in target basins
1941092S13150,SP,1941,UNNAMED,Not in target basins
1941149S17148,SP,1941,UNNAMED,Not in target basins
1942038S15157,SP,1942,UNNAMED,Not in target basins
1942047S09202,SP,1942,UNNAMED,Not in target basins
1942047S17150,SP,1942,UNNAMED,Not in target basins
1942056S10177,SP,1942,UNNAMED,Not in target basins
1942065S18165,SP,1942,UNNAMED,Not in target basins
1942361S12172,SP,1943,UNNAMED,Not in target basins
1943001S14148,SP,1943,UNNAMED,Not in target basins
1943027S14154,SP,1943,UNNAMED,Not in target basins
1943041S15150,SP,1943,UNNAMED,Not in target basins
1943063S17172,SP,1943,UNNAMED,Not in target basins
1943075S15183,SP,1943,UNNAMED,Not in target basins
1943349S13147,SP,1944,UNNAMED,Not in target basins
1944016S15160,SP,1944,UNNAMED,Not in target basins
1944027S11180,SP,1944,UNNAMED,Not in target basins
1944066S17153,SP,1944,UNNAMED,Not in target basins
1944075S13185,SP,1944,UNNAMED,Not in target basins
1944084S12156,SP,1944,UNNAMED,Not in target basins
1945030S14149,SP,1945,UNNAMED,Not in target basins
1945063S15142,SP,1945,UNNAMED,Not in target basins
1945072S14151,SP,1945,UNNAMED,Not in target basins
1945275N16279,EP,1945,UNNAMED,Not in target basins
1946010S15206,SP,1946,UNNAMED,Not in target basins
1946013S10163,SP,1946,UNNAMED,Not in target basins
1946016S15148,SP,1946,UNNAMED,Not in target basins
1946038S13150,SP,1946,UNNAMED,Not in target basins
1946055S10169,SP,1946,UNNAMED,Not in target basins
1946061S14153,SP,1946,UNNAMED,Not in target basins
1946076S13167,SP,1946,UNNAMED,Not in target basins
1946091S15155,SP,1946,UNNAMED,Not in target basins
1946100S14153,SP,1946,UNNAMED,Not in target basins
1946251N11165,EP,1946,PRISCILL,Not in target basins
1946358S12180,SP,1947,UNNAMED,Not in target basins
1946364S16148,SP,1947,UNNAMED,Not in target basins
1947011S10175,SP,1947,UNNAMED,Not in target basins
1947017S10168,SP,1947,UNNAMED,Not in target basins
1947033S13147,SP,1947,UNNAMED,Not in target basins
1947052S13167,SP,1947,UNNAMED,Not in target basins
1947053S21154,SP,1947,UNNAMED,Not in target basins
1947068S12161,SP,1947,UNNAMED,Not in target basins
1947074S21154,SP,1947,UNNAMED,Not in target basins
1947086S16138,SP,1947,UNNAMED,Not in target basins
1947093S23155,SP,1947,UNNAMED,Not in target basins
1947101S16138,SP,1947,UNNAMED,Not in target basins
1948006S10142,SP,1948,UNNAMED,Not in target basins
1948011S16140,SP,1948,UNNAMED,Not in target basins
1948011S20157,SP,1948,UNNAMED,Not in target basins
1948021S08178,SP,1948,UNNAMED,Not in target basins
1948024S13170,SP,1948,UNNAMED,Not in target basins
1948026S17164,SP,1948,UNNAMED,Not in target basins
1948027S15148,SP,1948,UNNAMED,Not in target basins
1948031S12180,SP,1948,UNNAMED,Not in target basins
1948032S13179,SP,1948,UNNAMED,Not in target basins
1948042S15148,SP,1948,UNNAMED,Not in target basins
1948051S13134,SP,1948,UNNAMED,Not in target basins
1948051S13167,SP,1948,UNNAMED,Not in target basins
1948070S15166,SP,1948,UNNAMED,Not in target basins
1948080S11156,SP,1948,UNNAMED,Not in target basins
1948121S23153,SP,1948,UNNAMED,Not in target basins
1948154S25153,SP,1948,UNNAMED,Not in target basins
1948193S25153,SP,1949,UNNAMED,Not in target basins
1948340S12176,SP,1949,UNNAMED,Not in target basins
1949009S14142,SP,1949,UNNAMED,Not in target basins
1949017S09171,SP,1949,UNNAMED,Not in target basins
1949024S18172,SP,1949,UNNAMED,Not in target basins
1949038S13155,SP,1949,UNNAMED,Not in target basins
1949045S25155,SP,1949,UNNAMED,Not in target basins
1949057S14156,SP,1949,UNNAMED,Not in target basins
1949072S15173,SP,1949,UNNAMED,Not in target basins
1949084S14157,SP,1949,UNNAMED,Not in target basins
1949162N20254,EP,1949,UNNAMED,Not in target basins
1949169N14253,EP,1949,UNNAMED,Not in target basins
1949246N17248,EP,1949,UNNAMED,Not in target basins
1949247N17254,EP,1949,UNNAMED,Not in target basins
1949253N19251,EP,1949,UNNAMED,Not in target basins
1949261N15259,EP,1949,UNNAMED,Not in target basins
1949270N13270,EP,1949,UNNAMED,Not in target basins
1949272N16253,EP,1949,UNNAMED,Not in target basins
1949317N09158,EP,1949,ALLYN,Not in target basins
1949343S15156,SP,1950,UNNAMED,Not in target basins
1949349S14177,SP,1950,UNNAMED,Not in target basins
1950012S14150,SP,1950,UNNAMED,Not in target basins
1950013S14139,SP,1950,UNNAMED,Not in target basins
1950022S16161,SP,1950,UNNAMED,Not in target basins
1950052S17194,SP,1950,UNNAMED,Not in target basins
1950054S16153,SP,1950,UNNAMED,Not in target basins
1950055S15156,SP,1950,UNNAMED,Not in target basins
1950059S15188,SP,1950,UNNAMED,Not in target basins
1950064S13146,SP,1950,UNNAMED,Not in target basins
1950064S14166,SP,1950,UNNAMED,Not in target basins
1950087S14175,SP,1950,UNNAMED,Not in target basins
1950166N14262,EP,1950,UNNAMED,Not in target basins
1950185N18254,EP,1950,UNNAMED,Not in target basins
1950191N16252,EP,1950,UNNAMED,Not in target basins
1950224N15216,EP,1950,HIKI,Not in target basins
1950225N18243,EP,1950,UNNAMED,Not in target basins
1950227N20207,EP,1950,UNNAMED,Not in target basins
1950231S18193,SP,1951,UNNAMED,Not in target basins
1950239N17229,EP,1950,UNNAMED,Not in target basins
1950255S16163,SP,1951,UNNAMED,Not in target basins
1950275N14251,EP,1950,UNNAMED,Not in target basins
1951009S16140,SP,1951,UNNAMED,Not in target basins
1951025S24152,SP,1951,UNNAMED,Not in target basins
1951050S14170,SP,1951,UNNAMED,Not in target basins
1951069S13145,SP,1951,UNNAMED,Not in target basins
1951080N23195,EP,1951,UNNAMED,Not in target basins
1951083S08159,SP,1951,UNNAMED,Not in target basins
1951124N04167,EP,1951,JOAN,Not in target basins
1951138N11256,EP,1951,UNNAMED,Not in target basins
1951152N14264,EP,1951,UNNAMED,Not in target basins
1951178N17259,EP,1951,UNNAMED,Not in target basins
1951181N21122,EP,1951,UNNAMED,Not in target basins
1951187N17256,EP,1951,UNNAMED,Not in target basins
1951216N11266,EP,1951,UNNAMED,Not in target basins
1951237N16259,EP,1951,UNNAMED,Not in target basins
1951255N17254,EP,1951,UNNAMED,Not in target basins
1951267N13259,EP,1951,UNNAMED,Not in target basins
1951295N21152,EP,1951,SARAH,Not in target basins
1951300N13155,EP,1951,THELMA,Not in target basins
1951301N16128,EP,1951,VERA,Not in target basins
1951332N14256,EP,1951,UNNAMED,Not in target basins
