SID,BASIN,SEASON,NAME,max_wind_kt,min_pressure_hpa,max_category,record_count,first_time,last_time,intensity_class
1860336S09086,SI,1861,UNNAMED,,,-5,33,1860-12-01 06:00:00,1860-12-05 06:00:00,Unknown
1861011S17051,SI,1861,UNNAMED,,,-5,49,1861-01-11 06:00:00,1861-01-17 06:00:00,Unknown
1861011S17411,SI,1861,UNNAMED,,,-5,33,1861-01-11 06:00:00,1861-01-15 06:00:00,Unknown
1861021S13086,SI,1861,UNNAMED,,,-5,57,1861-01-21 06:00:00,1861-01-28 06:00:00,Unknown
1861021S13446,SI,1861,UNNAMED,,,-5,33,1861-01-21 06:00:00,1861-01-25 06:00:00,Unknown
1861039S10077,SI,1861,UNNAMED,,,-5,85,1861-02-07 18:00:00,1861-02-18 06:00:00,Unknown
1861042S10077,SI,1861,UNNAMED,,,-5,105,1861-02-11 06:00:00,1861-02-24 06:00:00,Unknown
1861042S16062,SI,1861,UNNAMED,,,-5,81,1861-02-11 06:00:00,1861-02-21 06:00:00,Unknown
1861046S16062,SI,1861,UNNAMED,,,-5,53,1861-02-14 18:00:00,1861-02-21 06:00:00,Unknown
1861052S08069,SI,1861,UNNAMED,,,-5,65,1861-02-21 06:00:00,1861-03-01 06:00:00,Unknown
1861070S11100,SI,1861,UNNAMED,,,-5,41,1861-03-11 06:00:00,1861-03-16 06:00:00,Unknown
1861091S07085,SI,1861,UNNAMED,,,-5,37,1861-03-31 18:00:00,1861-04-05 06:00:00,Unknown
1861101S09083,SI,1861,UNNAMED,,,-5,53,1861-04-10 18:00:00,1861-04-17 06:00:00,Unknown
1861101S09084,SI,1861,UNNAMED,,,-5,65,1861-04-11 06:00:00,1861-04-19 06:00:00,Unknown
1861305S10085,SI,1862,UNNAMED,,,-5,21,1861-10-31 18:00:00,1861-11-03 06:00:00,Unknown
1861315S10085,SI,1862,UNNAMED,,,-5,33,1861-11-11 06:00:00,1861-11-15 06:00:00,Unknown
1861355S05087,SI,1862,UNNAMED,,,-5,49,1861-12-21 06:00:00,1861-12-27 06:00:00,Unknown
1861355S06087,SI,1862,UNNAMED,,,-5,37,1861-12-20 18:00:00,1861-12-25 06:00:00,Unknown
1861355S11068,SI,1862,UNNAMED,,,-5,85,1861-12-20 18:00:00,1861-12-31 06:00:00,Unknown
