ID,Type,RequestedTimestamp,RequestedLat,RequestedLon,ERA5Timestamp,CenterLat,CenterLon,GridDistanceKm,QC_Status
2017200N26162,TC,2017-07-19T06:00:00,26.1,162.1,2017-07-19T06:00:00,26.0,162.0,14.948,PASSED
1980208N23153,TC,1980-07-26T06:00:00,22.5,152.8,1980-07-26T06:00:00,22.5,152.75,5.1365,PASSED
1992212N05154,TC,1992-07-30T00:00:00,5.0,154.3,1992-07-30T00:00:00,5.0,154.25,5.5386,PASSED
1994222N11267,TC,1994-08-10T06:00:00,10.6,266.9,1994-08-10T06:00:00,10.5,-93.0,15.593,PASSED
1986112N02152,TC,1986-04-22T00:00:00,1.9,152.2,1986-04-22T00:00:00,2.0,152.25,12.4305,PASSED
1993263N11168,TC,1993-09-20T06:00:00,11.3,167.5,1993-09-20T06:00:00,11.25,167.5,5.5598,PASSED
2016256N12146,TC,2016-09-11T12:00:00,12.4,146.1,2016-09-11T12:00:00,12.5,146.0,15.5416,PASSED
2018294N08161,TC,2018-10-20T18:00:00,8.3,160.8,2018-10-20T18:00:00,8.25,160.75,7.8219,PASSED
2009270N10148,TC,2009-09-27T00:00:00,9.9,147.5,2009-09-27T00:00:00,10.0,147.5,11.1195,PASSED
1994224N20152,TC,1994-08-12T00:00:00,20.0,152.0,1994-08-12T00:00:00,20.0,152.0,0.0,PASSED
1987244N11177,TC,1987-09-01T06:00:00,11.0,177.0,1987-09-01T06:00:00,11.0,177.0,0.0,PASSED
2011233N12129,TC,2011-08-21T06:00:00,11.9,128.8,2011-08-21T06:00:00,12.0,128.75,12.3786,PASSED
2022239N22150,TC,2022-08-27T00:00:00,21.7,150.1,2022-08-27T00:00:00,21.75,150.0,11.7309,PASSED
2016355N07146,TC,2016-12-20T00:00:00,6.9,145.5,2016-12-20T00:00:00,7.0,145.5,11.1195,PASSED
2012263N15141,TC,2012-09-19T00:00:00,14.9,140.7,2012-09-19T00:00:00,15.0,140.75,12.349,PASSED
1985284N05159,TC,1985-10-11T00:00:00,5.1,159.4,1985-10-11T00:00:00,5.0,159.5,15.6949,PASSED
2023234N18128,TC,2023-08-22T00:00:00,18.2,128.0,2023-08-22T00:00:00,18.25,128.0,5.5598,PASSED
