case_id,case_type,case_timestamp,C_phi,shell_grid_count,QC_Status
CTRL_045,Control,1990-11-13T00:00:00,0.5783925188540935,89,PASSED
CTRL_046,Control,1983-11-12T12:00:00,0.6166647074249696,88,PASSED
CTRL_047,Control,2003-11-14T18:00:00,0.7897747684964936,88,PASSED
CTRL_048,Control,1987-11-01T00:00:00,0.6494500297207634,88,PASSED
CTRL_049,Control,2011-11-23T00:00:00,0.6102297235273664,87,PASSED
CTRL_050,Control,1985-11-25T18:00:00,0.6439929323552438,88,PASSED
CTRL_051,Control,1987-01-26T06:00:00,0.6686062257091465,86,PASSED
CTRL_052,Control,2023-01-19T12:00:00,0.5668442940915998,88,PASSED
CTRL_053,Control,2015-01-07T00:00:00,0.6512723753391476,89,PASSED
CTRL_054,Control,2020-01-15T18:00:00,0.5766533515490336,89,PASSED
CTRL_055,Control,2011-01-04T00:00:00,0.6029961553712833,87,PASSED
CTRL_056,Control,2002-01-09T18:00:00,0.6571730549157252,86,PASSED
CTRL_057,Control,2017-01-02T18:00:00,0.6335828161363188,86,PASSED
CTRL_058,Control,2014-01-10T18:00:00,0.6053270966643891,91,PASSED
CTRL_059,Control,2000-01-13T00:00:00,0.5957825338530017,90,PASSED
CTRL_060,Control,2024-01-09T12:00:00,0.6359924463925904,91,PASSED
CTRL_061,Control,1990-01-28T12:00:00,0.6460904682506828,94,PASSED
CTRL_062,Control,1987-02-08T18:00:00,0.5755275890506422,88,PASSED
CTRL_063,Control,2013-02-15T00:00:00,0.6809605447090487,91,PASSED
CTRL_064,Control,2001-02-12T12:00:00,0.6231303771065374,91,PASSED
CTRL_065,Control,2005-02-09T00:00:00,0.6954356992023728,91,PASSED
CTRL_066,Control,2017-02-17T12:00:00,0.6126284334767358,89,PASSED
CTRL_067,Control,2017-02-17T00:00:00,0.6294077340780838,89,PASSED
CTRL_068,Control,2010-02-22T00:00:00,0.625240095028783,92,PASSED
CTRL_069,Control,1994-02-28T00:00:00,0.6027956268527919,90,PASSED
CTRL_070,Control,1986-02-20T18:00:00,0.6556729268336374,93,PASSED
